nombre,sector,ciudad,telefono,address,rating,reviews,website,maps_url,wa_link,wa_mensaje,estado,notas,fecha_contacto
Snk Estilistas,peluquería,Vitoria-Gasteiz,945 00 81 78,"Paseo de Berlin, 6, BAJO, Salburua, 01002 Vitoria-Gasteiz, Araba, España",4.8,151,,https://maps.google.com/?cid=9221621187714339198,https://wa.me/34945008178?text=Hola%20Snk%20Estilistas%20%F0%9F%91%8B%20Vi%20vuestra%20peluquer%C3%ADa%20en%20Vitoria-Gasteiz.%20Tengo%20una%20soluci%C3%B3n%20de%20IA%20que%20atiende%20reservas%20telef%C3%B3nicas%2024h%20sin%20que%20tengas%20que%20coger%20el%20tel%C3%A9fono%20t%C3%BA%20(o%20tu%20equipo).%20%C2%BFTe%20cuento%20en%205%20minutos%20c%C3%B3mo%20funciona%3F,Hola Snk Estilistas 👋 Vi vuestra peluquería en Vitoria-Gasteiz. Tengo una solución de IA que atiende reservas telefónicas 24h sin que tengas que coger el teléfono tú (o tu equipo). ¿Te cuento en 5 minutos cómo funciona?,,,
SALÓNICA - Peluquería en Vitoria Gasteiz,peluquería,Vitoria-Gasteiz,945 25 52 28,"Palencia Kalea, 8, 01002 Vitoria-Gasteiz, Araba, España",4.6,282,https://salonicapeluqueria.es/,https://maps.google.com/?cid=12620154782705258906,https://wa.me/34945255228?text=Hola%20SAL%C3%93NICA%20-%20Peluquer%C3%ADa%20en%20Vitoria%20Gasteiz%20%F0%9F%91%8B%20Vi%20vuestra%20peluquer%C3%ADa%20en%20Vitoria-Gasteiz.%20Tengo%20una%20soluci%C3%B3n%20de%20IA%20que%20atiende%20reservas%20telef%C3%B3nicas%2024h%20sin%20que%20tengas%20que%20coger%20el%20tel%C3%A9fono%20t%C3%BA%20(o%20tu%20equipo).%20%C2%BFTe%20cuento%20en%205%20minutos%20c%C3%B3mo%20funciona%3F,Hola SALÓNICA - Peluquería en Vitoria Gasteiz 👋 Vi vuestra peluquería en Vitoria-Gasteiz. Tengo una solución de IA que atiende reservas telefónicas 24h sin que tengas que coger el teléfono tú (o tu equipo). ¿Te cuento en 5 minutos cómo funciona?,,,
Clinica dental Mozas - Clinica dental Vitoria - Dentista Vitoria,clínica dental,Vitoria-Gasteiz,945 27 75 08,"Calle Postas, 37, 01004 Vitoria-Gasteiz, Álava, España",4.9,195,https://www.clinicadentalmozas.com/,https://maps.google.com/?cid=18239605476013402189,https://wa.me/34945277508?text=Hola%20Clinica%20dental%20Mozas%20-%20Clinica%20dental%20Vitoria%20-%20Dentista%20Vitoria%20%F0%9F%91%8B%20Trabajo%20con%20cl%C3%ADnicas%20dentales%20en%20Vitoria-Gasteiz%20para%20automatizar%20la%20recepci%C3%B3n%20telef%C3%B3nica%20con%20IA.%20Citas%2C%20confirmaciones%20y%20cancelaciones%20sin%20coste%20de%20personal%20extra.%20%C2%BFTienes%205%20minutos%20para%20verlo%3F,"Hola Clinica dental Mozas - Clinica dental Vitoria - Dentista Vitoria 👋 Trabajo con clínicas dentales en Vitoria-Gasteiz para automatizar la recepción telefónica con IA. Citas, confirmaciones y cancelaciones sin coste de personal extra. ¿Tienes 5 minutos para verlo?",,,
"KLINIK, tu Centro Médico y Dental",clínica dental,Vitoria-Gasteiz,945 77 02 87,"Angulema Kalea, 7, 01004 Vitoria-Gasteiz, Araba, España",4.7,204,https://www.klinik.eus/,https://maps.google.com/?cid=5439116629167796109,https://wa.me/34945770287?text=Hola%20KLINIK%2C%20tu%20Centro%20M%C3%A9dico%20y%20Dental%20%F0%9F%91%8B%20Trabajo%20con%20cl%C3%ADnicas%20dentales%20en%20Vitoria-Gasteiz%20para%20automatizar%20la%20recepci%C3%B3n%20telef%C3%B3nica%20con%20IA.%20Citas%2C%20confirmaciones%20y%20cancelaciones%20sin%20coste%20de%20personal%20extra.%20%C2%BFTienes%205%20minutos%20para%20verlo%3F,"Hola KLINIK, tu Centro Médico y Dental 👋 Trabajo con clínicas dentales en Vitoria-Gasteiz para automatizar la recepción telefónica con IA. Citas, confirmaciones y cancelaciones sin coste de personal extra. ¿Tienes 5 minutos para verlo?",,,
Clínica Dental Gasteiz,clínica dental,Vitoria-Gasteiz,945 25 62 90,"Andalucía Kalea, 14, 01003 Vitoria-Gasteiz, Araba, España",4.6,22,,https://maps.google.com/?cid=6271657098287292063,https://wa.me/34945256290?text=Hola%20Cl%C3%ADnica%20Dental%20Gasteiz%20%F0%9F%91%8B%20Trabajo%20con%20cl%C3%ADnicas%20dentales%20en%20Vitoria-Gasteiz%20para%20automatizar%20la%20recepci%C3%B3n%20telef%C3%B3nica%20con%20IA.%20Citas%2C%20confirmaciones%20y%20cancelaciones%20sin%20coste%20de%20personal%20extra.%20%C2%BFTienes%205%20minutos%20para%20verlo%3F,"Hola Clínica Dental Gasteiz 👋 Trabajo con clínicas dentales en Vitoria-Gasteiz para automatizar la recepción telefónica con IA. Citas, confirmaciones y cancelaciones sin coste de personal extra. ¿Tienes 5 minutos para verlo?",,,
Clínica Dental Pablo Domínguez & Aritza Maté,clínica dental,Vitoria-Gasteiz,945 17 08 69,"Donostia San Sebastian Kalea, 36, bajo, 01010 Vitoria-Gasteiz, Araba, España",4.7,369,https://clinicapablodominguez.com/?utm_source=google&utm_medium=gbp&utm_campaign=btn_sitio_web,https://maps.google.com/?cid=6388419161350245487,https://wa.me/34945170869?text=Hola%20Cl%C3%ADnica%20Dental%20Pablo%20Dom%C3%ADnguez%20%26%20Aritza%20Mat%C3%A9%20%F0%9F%91%8B%20Trabajo%20con%20cl%C3%ADnicas%20dentales%20en%20Vitoria-Gasteiz%20para%20automatizar%20la%20recepci%C3%B3n%20telef%C3%B3nica%20con%20IA.%20Citas%2C%20confirmaciones%20y%20cancelaciones%20sin%20coste%20de%20personal%20extra.%20%C2%BFTienes%205%20minutos%20para%20verlo%3F,"Hola Clínica Dental Pablo Domínguez & Aritza Maté 👋 Trabajo con clínicas dentales en Vitoria-Gasteiz para automatizar la recepción telefónica con IA. Citas, confirmaciones y cancelaciones sin coste de personal extra. ¿Tienes 5 minutos para verlo?",,,
Clínica Dental Sanitas Vitoria,clínica dental,Vitoria-Gasteiz,945 26 21 86,"Olagibel Kalea, 27, 01004 Vitoria-Gasteiz, Araba, España",4.8,510,https://www.sanitas.es/dental/clinicas-dentales-milenium/alava/vitoria/vitoria?gmb=gmb%3Af-google%3Am-link%3Anc-clinica%3Ap-dental,https://maps.google.com/?cid=7419799917166692436,https://wa.me/34945262186?text=Hola%20Cl%C3%ADnica%20Dental%20Sanitas%20Vitoria%20%F0%9F%91%8B%20Trabajo%20con%20cl%C3%ADnicas%20dentales%20en%20Vitoria-Gasteiz%20para%20automatizar%20la%20recepci%C3%B3n%20telef%C3%B3nica%20con%20IA.%20Citas%2C%20confirmaciones%20y%20cancelaciones%20sin%20coste%20de%20personal%20extra.%20%C2%BFTienes%205%20minutos%20para%20verlo%3F,"Hola Clínica Dental Sanitas Vitoria 👋 Trabajo con clínicas dentales en Vitoria-Gasteiz para automatizar la recepción telefónica con IA. Citas, confirmaciones y cancelaciones sin coste de personal extra. ¿Tienes 5 minutos para verlo?",,,
perretxiCo Vitoria-Gasteiz,restaurante,Vitoria-Gasteiz,945 13 72 21,"San Antonio Kalea, 3, 01005 Vitoria-Gasteiz, Araba, España",4.4,7553,http://www.perretxico.es/,https://maps.google.com/?cid=11898759804312860151,https://wa.me/34945137221?text=Hola%20perretxiCo%20Vitoria-Gasteiz%20%F0%9F%91%8B%20Os%20vi%20en%20Vitoria-Gasteiz%20y%20me%20surgi%C3%B3%20una%20idea%3A%20%C2%BFy%20si%20vuestra%20IA%20atendiera%20las%20reservas%20telef%C3%B3nicas%20de%20noche%2Ffin%20de%20semana%20sin%20perder%20ninguna%20llamada%3F%20Sin%20apps%2C%20sin%20cambios.%20%C2%BFHablamos%3F,"Hola perretxiCo Vitoria-Gasteiz 👋 Os vi en Vitoria-Gasteiz y me surgió una idea: ¿y si vuestra IA atendiera las reservas telefónicas de noche/fin de semana sin perder ninguna llamada? Sin apps, sin cambios. ¿Hablamos?",,,
El Portalón,restaurante,Vitoria-Gasteiz,945 14 27 55,"Hedegile Kalea, 151, 01001 Vitoria-Gasteiz, Araba, España",4.4,3410,http://www.restauranteelportalon.com/,https://maps.google.com/?cid=15472038531570054526,https://wa.me/34945142755?text=Hola%20El%20Portal%C3%B3n%20%F0%9F%91%8B%20Os%20vi%20en%20Vitoria-Gasteiz%20y%20me%20surgi%C3%B3%20una%20idea%3A%20%C2%BFy%20si%20vuestra%20IA%20atendiera%20las%20reservas%20telef%C3%B3nicas%20de%20noche%2Ffin%20de%20semana%20sin%20perder%20ninguna%20llamada%3F%20Sin%20apps%2C%20sin%20cambios.%20%C2%BFHablamos%3F,"Hola El Portalón 👋 Os vi en Vitoria-Gasteiz y me surgió una idea: ¿y si vuestra IA atendiera las reservas telefónicas de noche/fin de semana sin perder ninguna llamada? Sin apps, sin cambios. ¿Hablamos?",,,
Restaurante La Bodeguilla Lanciego,restaurante,Vitoria-Gasteiz,945 25 00 73,"Olagibel Kalea, 60, 01003 Vitoria-Gasteiz, Araba, España",4.7,1841,https://www.labodeguillalanciego.com/,https://maps.google.com/?cid=17671513405388495281,https://wa.me/34945250073?text=Hola%20Restaurante%20La%20Bodeguilla%20Lanciego%20%F0%9F%91%8B%20Os%20vi%20en%20Vitoria-Gasteiz%20y%20me%20surgi%C3%B3%20una%20idea%3A%20%C2%BFy%20si%20vuestra%20IA%20atendiera%20las%20reservas%20telef%C3%B3nicas%20de%20noche%2Ffin%20de%20semana%20sin%20perder%20ninguna%20llamada%3F%20Sin%20apps%2C%20sin%20cambios.%20%C2%BFHablamos%3F,"Hola Restaurante La Bodeguilla Lanciego 👋 Os vi en Vitoria-Gasteiz y me surgió una idea: ¿y si vuestra IA atendiera las reservas telefónicas de noche/fin de semana sin perder ninguna llamada? Sin apps, sin cambios. ¿Hablamos?",,,
Restaurante La Casa de Napoleón,restaurante,Vitoria-Gasteiz,945 77 88 00,"Gaztelako Atea, 54, bajo, 01007 Vitoria-Gasteiz, Araba, España",4.6,1101,http://lacasadenapoleon.com/,https://maps.google.com/?cid=7305960961928098381,https://wa.me/34945778800?text=Hola%20Restaurante%20La%20Casa%20de%20Napole%C3%B3n%20%F0%9F%91%8B%20Os%20vi%20en%20Vitoria-Gasteiz%20y%20me%20surgi%C3%B3%20una%20idea%3A%20%C2%BFy%20si%20vuestra%20IA%20atendiera%20las%20reservas%20telef%C3%B3nicas%20de%20noche%2Ffin%20de%20semana%20sin%20perder%20ninguna%20llamada%3F%20Sin%20apps%2C%20sin%20cambios.%20%C2%BFHablamos%3F,"Hola Restaurante La Casa de Napoleón 👋 Os vi en Vitoria-Gasteiz y me surgió una idea: ¿y si vuestra IA atendiera las reservas telefónicas de noche/fin de semana sin perder ninguna llamada? Sin apps, sin cambios. ¿Hablamos?",,,
Tximiso Taberna,restaurante,Vitoria-Gasteiz,945 64 19 45,"Manuel Iradier Kalea, 8, 01005 Vitoria-Gasteiz, Araba, España",4.5,1910,https://tximisotaberna.shop/,https://maps.google.com/?cid=15446284531193452617,https://wa.me/34945641945?text=Hola%20Tximiso%20Taberna%20%F0%9F%91%8B%20Os%20vi%20en%20Vitoria-Gasteiz%20y%20me%20surgi%C3%B3%20una%20idea%3A%20%C2%BFy%20si%20vuestra%20IA%20atendiera%20las%20reservas%20telef%C3%B3nicas%20de%20noche%2Ffin%20de%20semana%20sin%20perder%20ninguna%20llamada%3F%20Sin%20apps%2C%20sin%20cambios.%20%C2%BFHablamos%3F,"Hola Tximiso Taberna 👋 Os vi en Vitoria-Gasteiz y me surgió una idea: ¿y si vuestra IA atendiera las reservas telefónicas de noche/fin de semana sin perder ninguna llamada? Sin apps, sin cambios. ¿Hablamos?",,,
Talleres M.A 24 horas,taller mecánico,Vitoria-Gasteiz,695 76 73 66,"Portal de Zurbano, 7, 01013 Vitoria-Gasteiz, Araba, España",4.9,51,http://www.talleresma.com/,https://maps.google.com/?cid=2201362108299171531,https://wa.me/34695767366?text=Hola%20Talleres%20M.A%2024%20horas%20%F0%9F%91%8B%20Ofrezco%20a%20talleres%20en%20Vitoria-Gasteiz%20una%20IA%20que%20atiende%20llamadas%20de%20clientes%2024h%3A%20citas%2C%20presupuestos%2C%20consultas.%20T%C3%BA%20solo%20ves%20lo%20que%20entra.%20%C2%BFTe%20interesa%20probarlo%20gratis%207%20d%C3%ADas%3F,"Hola Talleres M.A 24 horas 👋 Ofrezco a talleres en Vitoria-Gasteiz una IA que atiende llamadas de clientes 24h: citas, presupuestos, consultas. Tú solo ves lo que entra. ¿Te interesa probarlo gratis 7 días?",,,
Artapadura Motor,taller mecánico,Vitoria-Gasteiz,945 35 99 35,"C. Artapadura, 9, Pabellón 3-26, 01013 Vitoria-Gasteiz, Álava, España",4.8,93,http://www.artapaduramotor.es/,https://maps.google.com/?cid=7652796883081217896,https://wa.me/34945359935?text=Hola%20Artapadura%20Motor%20%F0%9F%91%8B%20Ofrezco%20a%20talleres%20en%20Vitoria-Gasteiz%20una%20IA%20que%20atiende%20llamadas%20de%20clientes%2024h%3A%20citas%2C%20presupuestos%2C%20consultas.%20T%C3%BA%20solo%20ves%20lo%20que%20entra.%20%C2%BFTe%20interesa%20probarlo%20gratis%207%20d%C3%ADas%3F,"Hola Artapadura Motor 👋 Ofrezco a talleres en Vitoria-Gasteiz una IA que atiende llamadas de clientes 24h: citas, presupuestos, consultas. Tú solo ves lo que entra. ¿Te interesa probarlo gratis 7 días?",,,
Auto Arana,taller mecánico,Vitoria-Gasteiz,945 28 83 22,"Arana Kalea, 36, 01002 Vitoria-Gasteiz, Araba, España",4.7,90,,https://maps.google.com/?cid=17175021633068327669,https://wa.me/34945288322?text=Hola%20Auto%20Arana%20%F0%9F%91%8B%20Ofrezco%20a%20talleres%20en%20Vitoria-Gasteiz%20una%20IA%20que%20atiende%20llamadas%20de%20clientes%2024h%3A%20citas%2C%20presupuestos%2C%20consultas.%20T%C3%BA%20solo%20ves%20lo%20que%20entra.%20%C2%BFTe%20interesa%20probarlo%20gratis%207%20d%C3%ADas%3F,"Hola Auto Arana 👋 Ofrezco a talleres en Vitoria-Gasteiz una IA que atiende llamadas de clientes 24h: citas, presupuestos, consultas. Tú solo ves lo que entra. ¿Te interesa probarlo gratis 7 días?",,,
Als Mechanics,taller mecánico,Vitoria-Gasteiz,623 45 56 17,"Av. de los Olmos, 1, Edif B nave 21, 01013 Vitoria-Gasteiz, Álava, España",4.9,93,,https://maps.google.com/?cid=8998538578364143046,https://wa.me/34623455617?text=Hola%20Als%20Mechanics%20%F0%9F%91%8B%20Ofrezco%20a%20talleres%20en%20Vitoria-Gasteiz%20una%20IA%20que%20atiende%20llamadas%20de%20clientes%2024h%3A%20citas%2C%20presupuestos%2C%20consultas.%20T%C3%BA%20solo%20ves%20lo%20que%20entra.%20%C2%BFTe%20interesa%20probarlo%20gratis%207%20d%C3%ADas%3F,"Hola Als Mechanics 👋 Ofrezco a talleres en Vitoria-Gasteiz una IA que atiende llamadas de clientes 24h: citas, presupuestos, consultas. Tú solo ves lo que entra. ¿Te interesa probarlo gratis 7 días?",,,
Taller Electromecanico Tamega,taller mecánico,Vitoria-Gasteiz,945 21 99 54,"Düsseldorf Kalea, 5, 01010 Vitoria-Gasteiz, Araba, España",4.7,129,,https://maps.google.com/?cid=17678405603705042389,https://wa.me/34945219954?text=Hola%20Taller%20Electromecanico%20Tamega%20%F0%9F%91%8B%20Ofrezco%20a%20talleres%20en%20Vitoria-Gasteiz%20una%20IA%20que%20atiende%20llamadas%20de%20clientes%2024h%3A%20citas%2C%20presupuestos%2C%20consultas.%20T%C3%BA%20solo%20ves%20lo%20que%20entra.%20%C2%BFTe%20interesa%20probarlo%20gratis%207%20d%C3%ADas%3F,"Hola Taller Electromecanico Tamega 👋 Ofrezco a talleres en Vitoria-Gasteiz una IA que atiende llamadas de clientes 24h: citas, presupuestos, consultas. Tú solo ves lo que entra. ¿Te interesa probarlo gratis 7 días?",,,
Sara Ugarte Centro de Estética Integral,estética,Vitoria-Gasteiz,945 03 24 82,"Tenerias Kalea, 13, 01012 Vitoria-Gasteiz, Araba, España",4.9,65,http://saraugarte.es/,https://maps.google.com/?cid=16506289775360378611,https://wa.me/34945032482?text=Hola%20Sara%20Ugarte%20Centro%20de%20Est%C3%A9tica%20Integral%20%F0%9F%91%8B%20Vi%20vuestro%20centro%20en%20Vitoria-Gasteiz.%20Trabajo%20con%20centros%20de%20est%C3%A9tica%20para%20automatizar%20las%20reservas%20telef%C3%B3nicas%20con%20IA%20%E2%80%94%20sin%20perder%20una%20llamada%20aunque%20est%C3%A9is%20atendiendo.%20%C2%BFTe%20cuento%3F,Hola Sara Ugarte Centro de Estética Integral 👋 Vi vuestro centro en Vitoria-Gasteiz. Trabajo con centros de estética para automatizar las reservas telefónicas con IA — sin perder una llamada aunque estéis atendiendo. ¿Te cuento?,,,
Centro de estética Sian,estética,Vitoria-Gasteiz,688 77 55 38,"Bulevar de Salburua Kalea, 26, Salburua, 01003 Vitoria-Gasteiz, Araba, España",4.9,122,http://www.facebook.com/esteticsian,https://maps.google.com/?cid=837026041360216862,https://wa.me/34688775538?text=Hola%20Centro%20de%20est%C3%A9tica%20Sian%20%F0%9F%91%8B%20Vi%20vuestro%20centro%20en%20Vitoria-Gasteiz.%20Trabajo%20con%20centros%20de%20est%C3%A9tica%20para%20automatizar%20las%20reservas%20telef%C3%B3nicas%20con%20IA%20%E2%80%94%20sin%20perder%20una%20llamada%20aunque%20est%C3%A9is%20atendiendo.%20%C2%BFTe%20cuento%3F,Hola Centro de estética Sian 👋 Vi vuestro centro en Vitoria-Gasteiz. Trabajo con centros de estética para automatizar las reservas telefónicas con IA — sin perder una llamada aunque estéis atendiendo. ¿Te cuento?,,,
Medicina & Estética Regenerativa en Vitoria,estética,Vitoria-Gasteiz,945 17 69 60,"C. Sierra de Aralar, 49, 01010 Vitoria-Gasteiz, Álava, España",4.7,122,https://harmonieesteticaavanzada.com/,https://maps.google.com/?cid=9740894944102038150,https://wa.me/34945176960?text=Hola%20Medicina%20%26%20Est%C3%A9tica%20Regenerativa%20en%20Vitoria%20%F0%9F%91%8B%20Vi%20vuestro%20centro%20en%20Vitoria-Gasteiz.%20Trabajo%20con%20centros%20de%20est%C3%A9tica%20para%20automatizar%20las%20reservas%20telef%C3%B3nicas%20con%20IA%20%E2%80%94%20sin%20perder%20una%20llamada%20aunque%20est%C3%A9is%20atendiendo.%20%C2%BFTe%20cuento%3F,Hola Medicina & Estética Regenerativa en Vitoria 👋 Vi vuestro centro en Vitoria-Gasteiz. Trabajo con centros de estética para automatizar las reservas telefónicas con IA — sin perder una llamada aunque estéis atendiendo. ¿Te cuento?,,,
Estética Irene (Micropigmentacion),estética,Vitoria-Gasteiz,628 55 51 69,"C. Pintor Tomás Alfaro Margolaria Kalea, 8, 01008 Vitoria-Gasteiz, Álava, España",4.9,293,https://www.facebook.com/irenestetica/,https://maps.google.com/?cid=17134401424432582839,https://wa.me/34628555169?text=Hola%20Est%C3%A9tica%20Irene%20(Micropigmentacion)%20%F0%9F%91%8B%20Vi%20vuestro%20centro%20en%20Vitoria-Gasteiz.%20Trabajo%20con%20centros%20de%20est%C3%A9tica%20para%20automatizar%20las%20reservas%20telef%C3%B3nicas%20con%20IA%20%E2%80%94%20sin%20perder%20una%20llamada%20aunque%20est%C3%A9is%20atendiendo.%20%C2%BFTe%20cuento%3F,Hola Estética Irene (Micropigmentacion) 👋 Vi vuestro centro en Vitoria-Gasteiz. Trabajo con centros de estética para automatizar las reservas telefónicas con IA — sin perder una llamada aunque estéis atendiendo. ¿Te cuento?,,,
Centro de Estética y Masajes M&N,estética,Vitoria-Gasteiz,642 92 73 24,"Kalea, Sierra de Andia Kalea, 21, BAJO, 01010 Vitoria-Gasteiz, Araba, España",5,94,https://www.centro-m-n.com/,https://maps.google.com/?cid=12630228659688500213,https://wa.me/34642927324?text=Hola%20Centro%20de%20Est%C3%A9tica%20y%20Masajes%20M%26N%20%F0%9F%91%8B%20Vi%20vuestro%20centro%20en%20Vitoria-Gasteiz.%20Trabajo%20con%20centros%20de%20est%C3%A9tica%20para%20automatizar%20las%20reservas%20telef%C3%B3nicas%20con%20IA%20%E2%80%94%20sin%20perder%20una%20llamada%20aunque%20est%C3%A9is%20atendiendo.%20%C2%BFTe%20cuento%3F,Hola Centro de Estética y Masajes M&N 👋 Vi vuestro centro en Vitoria-Gasteiz. Trabajo con centros de estética para automatizar las reservas telefónicas con IA — sin perder una llamada aunque estéis atendiendo. ¿Te cuento?,,,
Fitness Park Vitoria - Boulevard,gimnasio,Vitoria-Gasteiz,656 18 22 00,"Zaramaga Kalea, 1, 01013 Vitoria-Gasteiz, Araba, España",4.8,2790,https://www.fitnesspark.es/club/vitoria-boulevard/?utm_medium=Local_Inventory&utm_source=GMB&utm_campaign=Vitoria-El-Boulevard&utm_content=Yext,https://maps.google.com/?cid=4527620778849744510,https://wa.me/34656182200?text=Hola%20Fitness%20Park%20Vitoria%20-%20Boulevard%20%F0%9F%91%8B%20Vi%20vuestro%20gimnasio%20en%20Vitoria-Gasteiz.%20Ofrezco%20una%20IA%20que%20atiende%20llamadas%2024h%3A%20altas%2C%20horarios%2C%20clases.%20Los%20clientes%20llaman%20cuando%20quieren%2C%20vosotros%20no%20perd%C3%A9is%20ninguna%20alta.%20%C2%BFTe%20cuento%20en%205%20min%3F,"Hola Fitness Park Vitoria - Boulevard 👋 Vi vuestro gimnasio en Vitoria-Gasteiz. Ofrezco una IA que atiende llamadas 24h: altas, horarios, clases. Los clientes llaman cuando quieren, vosotros no perdéis ninguna alta. ¿Te cuento en 5 min?",,,
Dreamfit Gimnasio Vitoria,gimnasio,Vitoria-Gasteiz,,"Plaza del Renacimiento, 01004 Vitoria-Gasteiz, Araba, España",4.5,490,https://www.dreamfit.es/centros/vitoria,https://maps.google.com/?cid=11373866049641915036,,(sin teléfono — buscar manualmente),,,
Basic-Fit,gimnasio,Vitoria-Gasteiz,851 96 04 67,"Arriagako Atea Kalea, 22, 01013 Vitoria-Gasteiz, Araba, España",4.8,754,https://www.basic-fit.com/es-es/clubs/basic-fit-gasteiz-calle-portal-de-arriaga-f93712ac75cd4af6904f4e36dd1f9319.html?utm_medium=yext&utm_source=gmb,https://maps.google.com/?cid=3554385413027693439,https://wa.me/34851960467?text=Hola%20Basic-Fit%20%F0%9F%91%8B%20Vi%20vuestro%20gimnasio%20en%20Vitoria-Gasteiz.%20Ofrezco%20una%20IA%20que%20atiende%20llamadas%2024h%3A%20altas%2C%20horarios%2C%20clases.%20Los%20clientes%20llaman%20cuando%20quieren%2C%20vosotros%20no%20perd%C3%A9is%20ninguna%20alta.%20%C2%BFTe%20cuento%20en%205%20min%3F,"Hola Basic-Fit 👋 Vi vuestro gimnasio en Vitoria-Gasteiz. Ofrezco una IA que atiende llamadas 24h: altas, horarios, clases. Los clientes llaman cuando quieren, vosotros no perdéis ninguna alta. ¿Te cuento en 5 min?",,,
Synergym Vitoria Zaramaga,gimnasio,Vitoria-Gasteiz,,"Reyes de Navarra Kalea, 31, 01013 Vitoria-Gasteiz, Araba, España",4.7,558,https://synergym.es/vitoria-zaramaga/,https://maps.google.com/?cid=17815120684274869592,,(sin teléfono — buscar manualmente),,,
Synergym,gimnasio,Vitoria-Gasteiz,,"Abendaño Kalea, 16, 01008 Vitoria-Gasteiz, Araba, España",4.6,812,https://www.synergym.es/vitoria-san-martin/,https://maps.google.com/?cid=11380785791248637142,,(sin teléfono — buscar manualmente),,,
Academia Omega Vitoria-Gasteiz,academia,Vitoria-Gasteiz,945 28 17 82,"Arrieta Pasabidea, 6, bajo, 01002 Vitoria-Gasteiz, Araba, España",3.9,27,https://www.akademiaomega.com/,https://maps.google.com/?cid=4012799195002972801,https://wa.me/34945281782?text=Hola%20Academia%20Omega%20Vitoria-Gasteiz%20%F0%9F%91%8B%20Vi%20vuestra%20academia%20en%20Vitoria-Gasteiz.%20Tengo%20una%20IA%20que%20atiende%20consultas%20telef%C3%B3nicas%20y%20matriculaciones%2024h%20sin%20que%20teng%C3%A1is%20que%20coger%20el%20tel%C3%A9fono.%20%C2%BFTe%20interesa%20verlo%3F,Hola Academia Omega Vitoria-Gasteiz 👋 Vi vuestra academia en Vitoria-Gasteiz. Tengo una IA que atiende consultas telefónicas y matriculaciones 24h sin que tengáis que coger el teléfono. ¿Te interesa verlo?,,,
Academia Teknos,academia,Vitoria-Gasteiz,644 72 99 94,"Bastiturri Kalea, 7, 01008 Vitoria-Gasteiz, Araba, España",4.9,33,http://academiateknos.com/,https://maps.google.com/?cid=13699485764423818566,https://wa.me/34644729994?text=Hola%20Academia%20Teknos%20%F0%9F%91%8B%20Vi%20vuestra%20academia%20en%20Vitoria-Gasteiz.%20Tengo%20una%20IA%20que%20atiende%20consultas%20telef%C3%B3nicas%20y%20matriculaciones%2024h%20sin%20que%20teng%C3%A1is%20que%20coger%20el%20tel%C3%A9fono.%20%C2%BFTe%20interesa%20verlo%3F,Hola Academia Teknos 👋 Vi vuestra academia en Vitoria-Gasteiz. Tengo una IA que atiende consultas telefónicas y matriculaciones 24h sin que tengáis que coger el teléfono. ¿Te interesa verlo?,,,
Ikasdemia,academia,Vitoria-Gasteiz,645 03 74 55,"Fermin Lasuen Kalea, 15, 01013 Vitoria-Gasteiz, Araba, España",5,16,https://www.ikasdemia.com/,https://maps.google.com/?cid=3257701281377978484,https://wa.me/34645037455?text=Hola%20Ikasdemia%20%F0%9F%91%8B%20Vi%20vuestra%20academia%20en%20Vitoria-Gasteiz.%20Tengo%20una%20IA%20que%20atiende%20consultas%20telef%C3%B3nicas%20y%20matriculaciones%2024h%20sin%20que%20teng%C3%A1is%20que%20coger%20el%20tel%C3%A9fono.%20%C2%BFTe%20interesa%20verlo%3F,Hola Ikasdemia 👋 Vi vuestra academia en Vitoria-Gasteiz. Tengo una IA que atiende consultas telefónicas y matriculaciones 24h sin que tengáis que coger el teléfono. ¿Te interesa verlo?,,,
Academia San Martín Ikastegia en Vitoria,academia,Vitoria-Gasteiz,633 34 96 79,"Pintor Pablo Uranga Kalea, 13, 01008 Vitoria-Gasteiz, Araba, España",4.9,120,,https://maps.google.com/?cid=9528345620088873051,https://wa.me/34633349679?text=Hola%20Academia%20San%20Mart%C3%ADn%20Ikastegia%20en%20Vitoria%20%F0%9F%91%8B%20Vi%20vuestra%20academia%20en%20Vitoria-Gasteiz.%20Tengo%20una%20IA%20que%20atiende%20consultas%20telef%C3%B3nicas%20y%20matriculaciones%2024h%20sin%20que%20teng%C3%A1is%20que%20coger%20el%20tel%C3%A9fono.%20%C2%BFTe%20interesa%20verlo%3F,Hola Academia San Martín Ikastegia en Vitoria 👋 Vi vuestra academia en Vitoria-Gasteiz. Tengo una IA que atiende consultas telefónicas y matriculaciones 24h sin que tengáis que coger el teléfono. ¿Te interesa verlo?,,,
Academia Salburua,academia,Vitoria-Gasteiz,688 82 63 26,"paseo de Atenas, 1, Salburua, 01002 Vitoria-Gasteiz, Álava, España",4.9,77,http://www.academiasalburua.com/,https://maps.google.com/?cid=9022817517262257912,https://wa.me/34688826326?text=Hola%20Academia%20Salburua%20%F0%9F%91%8B%20Vi%20vuestra%20academia%20en%20Vitoria-Gasteiz.%20Tengo%20una%20IA%20que%20atiende%20consultas%20telef%C3%B3nicas%20y%20matriculaciones%2024h%20sin%20que%20teng%C3%A1is%20que%20coger%20el%20tel%C3%A9fono.%20%C2%BFTe%20interesa%20verlo%3F,Hola Academia Salburua 👋 Vi vuestra academia en Vitoria-Gasteiz. Tengo una IA que atiende consultas telefónicas y matriculaciones 24h sin que tengáis que coger el teléfono. ¿Te interesa verlo?,,,
